video,file,label,original,frame,fold
cyxlcuyznd,290_0.png,0,cyxlcuyznd,290,0
dsdoseflas,110_0.png,1,dzyuwjkjui,110,0
afoovlsmtx,180_0.png,0,afoovlsmtx,180,0
ekcrtigpab,140_0.png,0,ekcrtigpab,140,0
dzvyfiarrq,50_0.png,1,bgwmmujlmc,50,0
drtbksnpol,280_0.png,1,dzyuwjkjui,280,0
eckvhdusax,190_0.png,0,eckvhdusax,190,0
cprhtltsjp,200_0.png,0,cprhtltsjp,200,0
atkdltyyen,10_0.png,0,atkdltyyen,10,0
edyncaijwx,290_0.png,0,edyncaijwx,290,0
ahbweevwpv,70_0.png,1,dkuayagnmc,70,0
dfbpceeaox,160_0.png,1,bffwsjxghk,160,0
drtbksnpol,140_0.png,1,dzyuwjkjui,140,0
cxrfacemmq,200_0.png,1,dlpoieqvfb,200,0
efwfxwwlbw,110_0.png,0,efwfxwwlbw,110,0
cpjxareypw,0_0.png,0,cpjxareypw,0,0
ehfiekigla,130_0.png,1,avmjormvsx,130,0
ahbweevwpv,290_0.png,1,dkuayagnmc,290,0
chtapglbcj,190_0.png,0,chtapglbcj,190,0
ekcrtigpab,180_0.png,0,ekcrtigpab,180,0
apatcsqejh,20_1.png,1,edyncaijwx,20,0
dzvyfiarrq,210_0.png,1,bgwmmujlmc,210,0
alaijyygdv,240_0.png,1,cppdvdejkc,240,0
cizlkenljw,280_0.png,0,cizlkenljw,280,0
bpxckdzddv,150_0.png,1,cizlkenljw,150,0
dnyvfblxpm,290_0.png,1,eckvhdusax,290,0
blzydqdfem,100_0.png,1,dbtbbhakdv,100,0
chtapglbcj,130_0.png,0,chtapglbcj,130,0
eqvuznuwsa,200_0.png,1,cmbzllswnl,200,0
brwrlczjvi,290_0.png,0,brwrlczjvi,290,0
dbzpcjntve,20_0.png,1,ellavthztb,20,0
dzyuwjkjui,140_0.png,0,dzyuwjkjui,140,0
bsqgziaylx,140_0.png,1,brwrlczjvi,140,0
ehdkmxgtxh,110_0.png,1,bejhvclboh,110,0
ekhacizpah,240_0.png,1,egghxjjmfg,240,0
caifxvsozs,250_1.png,0,caifxvsozs,250,0
ahbweevwpv,150_0.png,1,dkuayagnmc,150,0
bdnaqemxmr,260_0.png,0,bdnaqemxmr,260,0
eepezmygaq,90_0.png,1,abarnvbtwb,90,0
dzvyfiarrq,90_0.png,1,bgwmmujlmc,90,0
cdphtzqrvp,260_0.png,1,ehtdtkmmli,260,0
emfbhytfhc,180_0.png,1,cprhtltsjp,180,0
coadfnerlk,180_0.png,1,bwipwzzxxu,180,0
dnyvfblxpm,140_0.png,1,eckvhdusax,140,0
ekcrtigpab,240_0.png,0,ekcrtigpab,240,0
bffwsjxghk,220_0.png,0,bffwsjxghk,220,0
btjlfpzbdu,120_0.png,1,drcyabprvt,120,0
dbzpcjntve,0_0.png,1,ellavthztb,0,0
bsqgziaylx,140_1.png,1,brwrlczjvi,140,0
adylbeequz,60_0.png,1,dlpoieqvfb,60,0
cmbzllswnl,130_0.png,0,cmbzllswnl,130,0
czfunozvwp,130_0.png,1,caifxvsozs,130,0
ehfiekigla,210_0.png,1,avmjormvsx,210,0
cppdvdejkc,210_0.png,0,cppdvdejkc,210,0
cppdvdejkc,180_0.png,0,cppdvdejkc,180,0
cksanfsjhc,120_0.png,1,atkdltyyen,120,0
azsmewqghg,100_0.png,1,djxdyjopjd,100,0
crezycjqyk,90_0.png,0,crezycjqyk,90,0
ehccixxzoe,250_0.png,0,ehccixxzoe,250,0
emfbhytfhc,50_0.png,1,cprhtltsjp,50,0
chtapglbcj,120_0.png,0,chtapglbcj,120,0
btohlidmru,50_0.png,1,cyxlcuyznd,50,0
abarnvbtwb,130_0.png,0,abarnvbtwb,130,0
bxzakyopjf,220_0.png,0,bxzakyopjf,220,0
dbtbbhakdv,230_0.png,0,dbtbbhakdv,230,0
ccfoszqabv,210_0.png,0,ccfoszqabv,210,0
cprhtltsjp,260_0.png,0,cprhtltsjp,260,0
czfunozvwp,60_1.png,1,caifxvsozs,60,0
bofqajtwve,280_0.png,1,dbtbbhakdv,280,0
ehfiekigla,250_0.png,1,avmjormvsx,250,0
czfunozvwp,140_1.png,1,caifxvsozs,140,0
caifxvsozs,210_1.png,0,caifxvsozs,210,0
btmsngnqhv,210_0.png,1,crezycjqyk,210,0
bqqpbzjgup,60_0.png,1,djxdyjopjd,60,0
ekcrtigpab,0_0.png,0,ekcrtigpab,0,0
bsqgziaylx,40_0.png,1,brwrlczjvi,40,0
asmpfjfzif,260_0.png,1,dzyuwjkjui,260,0
apatcsqejh,10_1.png,1,edyncaijwx,10,0
ajwpjhrbcv,60_0.png,1,bzythlfnhq,60,0
dbnygxtwek,50_0.png,0,dbnygxtwek,50,0
emaalmsonj,70_0.png,1,dzyuwjkjui,70,0
eqvuznuwsa,150_0.png,1,cmbzllswnl,150,0
avnqydkqjj,230_0.png,1,efwfxwwlbw,230,0
dbtbbhakdv,20_0.png,0,dbtbbhakdv,20,0
ekhacizpah,260_0.png,1,egghxjjmfg,260,0
cizlkenljw,80_0.png,0,cizlkenljw,80,0
efwfxwwlbw,180_0.png,0,efwfxwwlbw,180,0
dbnygxtwek,140_0.png,0,dbnygxtwek,140,0
efwfxwwlbw,170_0.png,0,efwfxwwlbw,170,0
bdnaqemxmr,90_0.png,0,bdnaqemxmr,90,0
bgwmmujlmc,30_0.png,0,bgwmmujlmc,30,0
bdnaqemxmr,160_0.png,0,bdnaqemxmr,160,0
avmjormvsx,200_0.png,0,avmjormvsx,200,0
afoovlsmtx,160_0.png,0,afoovlsmtx,160,0
dlpoieqvfb,210_0.png,0,dlpoieqvfb,210,0
btohlidmru,170_0.png,1,cyxlcuyznd,170,0
cksanfsjhc,280_0.png,1,atkdltyyen,280,0
ebchwmwayp,40_0.png,1,ehccixxzoe,40,0
cyxlcuyznd,280_0.png,0,cyxlcuyznd,280,0
abarnvbtwb,70_0.png,0,abarnvbtwb,70,0
ehccixxzoe,230_0.png,0,ehccixxzoe,230,0
ekhacizpah,100_0.png,1,egghxjjmfg,100,0
dsdoseflas,80_0.png,1,dzyuwjkjui,80,0
apatcsqejh,60_1.png,1,edyncaijwx,60,0
cyxlcuyznd,180_0.png,0,cyxlcuyznd,180,0
caifxvsozs,200_1.png,0,caifxvsozs,200,0
bourlmzsio,110_0.png,1,bxzakyopjf,110,0
asmpfjfzif,90_0.png,1,dzyuwjkjui,90,0
apatcsqejh,30_0.png,1,edyncaijwx,30,0
bsqgziaylx,250_1.png,1,brwrlczjvi,250,0
ehccixxzoe,110_0.png,0,ehccixxzoe,110,0
bbhtdfuqxq,150_0.png,1,cpjxareypw,150,0
ajwpjhrbcv,10_0.png,1,bzythlfnhq,10,0
bejhvclboh,0_0.png,0,bejhvclboh,0,0
aorjvbyxhw,100_0.png,1,bulkxhhknf,100,0
bdnaqemxmr,20_0.png,0,bdnaqemxmr,20,0
dlpoieqvfb,160_0.png,0,dlpoieqvfb,160,0
ekhacizpah,90_0.png,1,egghxjjmfg,90,0
drtbksnpol,180_0.png,1,dzyuwjkjui,180,0
abarnvbtwb,90_0.png,0,abarnvbtwb,90,0
efwfxwwlbw,200_0.png,0,efwfxwwlbw,200,0
ccfoszqabv,80_0.png,0,ccfoszqabv,80,0
bxzakyopjf,20_0.png,0,bxzakyopjf,20,0
caifxvsozs,280_0.png,0,caifxvsozs,280,0
edyncaijwx,250_0.png,0,edyncaijwx,250,0
dtocdfbwca,70_0.png,1,dakiztgtnw,70,0
atkdltyyen,290_0.png,0,atkdltyyen,290,0
caifxvsozs,230_0.png,0,caifxvsozs,230,0
dkuayagnmc,90_0.png,0,dkuayagnmc,90,0
cknyxaqouy,270_0.png,1,bwipwzzxxu,270,0
ebchwmwayp,50_0.png,1,ehccixxzoe,50,0
eckvhdusax,130_0.png,0,eckvhdusax,130,0
etohcvnzbj,260_0.png,1,bdnaqemxmr,260,0
bpxckdzddv,160_0.png,1,cizlkenljw,160,0
dhkwmjxwrn,50_1.png,1,ehccixxzoe,50,0
bqqpbzjgup,240_1.png,1,djxdyjopjd,240,0
aorjvbyxhw,180_0.png,1,bulkxhhknf,180,0
czfunozvwp,40_1.png,1,caifxvsozs,40,0
crezycjqyk,190_0.png,0,crezycjqyk,190,0
dkuayagnmc,100_0.png,0,dkuayagnmc,100,0
bbhtdfuqxq,270_0.png,1,cpjxareypw,270,0
eckvhdusax,210_0.png,0,eckvhdusax,210,0
blzydqdfem,20_0.png,1,dbtbbhakdv,20,0
dakiztgtnw,90_0.png,0,dakiztgtnw,90,0
bgwmmujlmc,270_0.png,0,bgwmmujlmc,270,0
ccfoszqabv,250_0.png,0,ccfoszqabv,250,0
bbhtdfuqxq,190_0.png,1,cpjxareypw,190,0
apatcsqejh,210_1.png,1,edyncaijwx,210,0
dlpoieqvfb,80_0.png,0,dlpoieqvfb,80,0
btjlfpzbdu,190_0.png,1,drcyabprvt,190,0
crezycjqyk,40_0.png,0,crezycjqyk,40,0
ehdkmxgtxh,190_0.png,1,bejhvclboh,190,0
drtbksnpol,80_0.png,1,dzyuwjkjui,80,0
dzyuwjkjui,260_0.png,0,dzyuwjkjui,260,0
dhevettufk,50_0.png,1,cppdvdejkc,50,0
czfunozvwp,20_0.png,1,caifxvsozs,20,0
drcyabprvt,90_0.png,0,drcyabprvt,90,0
dkuayagnmc,80_0.png,0,dkuayagnmc,80,0
etmcruaihe,180_0.png,1,afoovlsmtx,180,0
eqvuznuwsa,60_0.png,1,cmbzllswnl,60,0
ehtdtkmmli,290_0.png,0,ehtdtkmmli,290,0
avnqydkqjj,190_0.png,1,efwfxwwlbw,190,0
atkdltyyen,50_0.png,0,atkdltyyen,50,0
cyxlcuyznd,170_0.png,0,cyxlcuyznd,170,0
cizlkenljw,230_0.png,0,cizlkenljw,230,0
dakiztgtnw,140_0.png,0,dakiztgtnw,140,0
dtocdfbwca,230_0.png,1,dakiztgtnw,230,0
bwipwzzxxu,260_0.png,0,bwipwzzxxu,260,0
dsdoseflas,270_0.png,1,dzyuwjkjui,270,0
bejhvclboh,110_0.png,0,bejhvclboh,110,0
djxdyjopjd,20_0.png,0,djxdyjopjd,20,0
czfunozvwp,270_0.png,1,caifxvsozs,270,0
aorjvbyxhw,200_0.png,1,bulkxhhknf,200,0
blzydqdfem,150_0.png,1,dbtbbhakdv,150,0
dbtbbhakdv,110_0.png,0,dbtbbhakdv,110,0
atkdltyyen,250_0.png,0,atkdltyyen,250,0
dkuayagnmc,10_0.png,0,dkuayagnmc,10,0
ebchwmwayp,250_1.png,1,ehccixxzoe,250,0
bzythlfnhq,120_0.png,0,bzythlfnhq,120,0
eepezmygaq,80_0.png,1,abarnvbtwb,80,0
bwipwzzxxu,170_0.png,0,bwipwzzxxu,170,0
dakiztgtnw,240_0.png,0,dakiztgtnw,240,0
dzvyfiarrq,40_0.png,1,bgwmmujlmc,40,0
dgxrqjdomn,80_0.png,1,duycddgtrl,80,0
czfunozvwp,290_1.png,1,caifxvsozs,290,0
etohcvnzbj,70_0.png,1,bdnaqemxmr,70,0
cxrfacemmq,270_0.png,1,dlpoieqvfb,270,0
crezycjqyk,210_0.png,0,crezycjqyk,210,0
cknyxaqouy,230_0.png,1,bwipwzzxxu,230,0
bejhvclboh,90_0.png,0,bejhvclboh,90,0
ahbweevwpv,250_0.png,1,dkuayagnmc,250,0
bourlmzsio,60_0.png,1,bxzakyopjf,60,0
ccfoszqabv,260_0.png,0,ccfoszqabv,260,0
bzythlfnhq,260_0.png,0,bzythlfnhq,260,0
crezycjqyk,50_0.png,0,crezycjqyk,50,0
aorjvbyxhw,80_0.png,1,bulkxhhknf,80,0
ehccixxzoe,120_1.png,0,ehccixxzoe,120,0
czfunozvwp,120_1.png,1,caifxvsozs,120,0
bsqgziaylx,60_1.png,1,brwrlczjvi,60,0
ekhacizpah,280_0.png,1,egghxjjmfg,280,0
eqjscdagiv,150_0.png,1,dbnygxtwek,150,0
bwipwzzxxu,160_0.png,0,bwipwzzxxu,160,0
bbhtdfuqxq,200_0.png,1,cpjxareypw,200,0
czfunozvwp,10_0.png,1,caifxvsozs,10,0
dhevettufk,40_0.png,1,cppdvdejkc,40,0
dkuayagnmc,140_0.png,0,dkuayagnmc,140,0
cizlkenljw,210_0.png,0,cizlkenljw,210,0
djxdyjopjd,210_0.png,0,djxdyjopjd,210,0
cppdvdejkc,240_0.png,0,cppdvdejkc,240,0
eqjscdagiv,50_0.png,1,dbnygxtwek,50,0
dbzpcjntve,190_0.png,1,ellavthztb,190,0
cmbzllswnl,100_0.png,0,cmbzllswnl,100,0
bqqpbzjgup,70_0.png,1,djxdyjopjd,70,0
edyncaijwx,10_0.png,0,edyncaijwx,10,0
btmsngnqhv,0_0.png,1,crezycjqyk,0,0
abarnvbtwb,230_0.png,0,abarnvbtwb,230,0
dhkwmjxwrn,250_1.png,1,ehccixxzoe,250,0
ehfiekigla,190_0.png,1,avmjormvsx,190,0
btmsngnqhv,90_0.png,1,crezycjqyk,90,0
dfbpceeaox,10_0.png,1,bffwsjxghk,10,0
dbzpcjntve,130_0.png,1,ellavthztb,130,0
bxzakyopjf,230_0.png,0,bxzakyopjf,230,0
azsmewqghg,40_0.png,1,djxdyjopjd,40,0
dakiztgtnw,170_0.png,0,dakiztgtnw,170,0
azsmewqghg,170_0.png,1,djxdyjopjd,170,0
drtbksnpol,90_0.png,1,dzyuwjkjui,90,0
bgwmmujlmc,240_0.png,0,bgwmmujlmc,240,0
dkuayagnmc,60_0.png,0,dkuayagnmc,60,0
alaijyygdv,20_0.png,1,cppdvdejkc,20,0
alaijyygdv,210_0.png,1,cppdvdejkc,210,0
egghxjjmfg,10_0.png,0,egghxjjmfg,10,0
bffwsjxghk,260_0.png,0,bffwsjxghk,260,0
ekcrtigpab,270_0.png,0,ekcrtigpab,270,0
dhevettufk,10_0.png,1,cppdvdejkc,10,0
bofqajtwve,100_0.png,1,dbtbbhakdv,100,0
cknyxaqouy,190_0.png,1,bwipwzzxxu,190,0
azsmewqghg,130_0.png,1,djxdyjopjd,130,0
ehccixxzoe,220_0.png,0,ehccixxzoe,220,0
dzvyfiarrq,270_0.png,1,bgwmmujlmc,270,0
etmcruaihe,10_0.png,1,afoovlsmtx,10,0
edyncaijwx,180_0.png,0,edyncaijwx,180,0
ajwpjhrbcv,230_0.png,1,bzythlfnhq,230,0
ajwpjhrbcv,280_0.png,1,bzythlfnhq,280,0
bffwsjxghk,80_0.png,0,bffwsjxghk,80,0
agqphdxmwt,140_0.png,1,aytzyidmgs,140,0
btohlidmru,240_0.png,1,cyxlcuyznd,240,0
etohcvnzbj,250_0.png,1,bdnaqemxmr,250,0
chtapglbcj,200_0.png,0,chtapglbcj,200,0
cmbzllswnl,250_0.png,0,cmbzllswnl,250,0
bpxckdzddv,240_0.png,1,cizlkenljw,240,0
dbzpcjntve,230_0.png,1,ellavthztb,230,0
awnwkrqibf,210_0.png,1,cprhtltsjp,210,0
avmjormvsx,50_0.png,0,avmjormvsx,50,0
avmjormvsx,290_0.png,0,avmjormvsx,290,0
bvzjkezkms,20_0.png,1,ekcrtigpab,20,0
eqjscdagiv,70_0.png,1,dbnygxtwek,70,0
bsqgziaylx,130_0.png,1,brwrlczjvi,130,0
afoovlsmtx,10_0.png,0,afoovlsmtx,10,0
ehdkmxgtxh,130_0.png,1,bejhvclboh,130,0
ajwpjhrbcv,80_0.png,1,bzythlfnhq,80,0
ahbweevwpv,260_0.png,1,dkuayagnmc,260,0
bpxckdzddv,280_0.png,1,cizlkenljw,280,0
agqphdxmwt,280_0.png,1,aytzyidmgs,280,0
afoovlsmtx,190_0.png,0,afoovlsmtx,190,0
dhevettufk,290_0.png,1,cppdvdejkc,290,0
dhevettufk,150_0.png,1,cppdvdejkc,150,0
ellavthztb,40_0.png,0,ellavthztb,40,0
emaalmsonj,210_0.png,1,dzyuwjkjui,210,0
bejhvclboh,200_0.png,0,bejhvclboh,200,0
dhkwmjxwrn,30_0.png,1,ehccixxzoe,30,0
cknyxaqouy,180_0.png,1,bwipwzzxxu,180,0
ellavthztb,90_0.png,0,ellavthztb,90,0
edyncaijwx,50_1.png,0,edyncaijwx,50,0
blzydqdfem,70_0.png,1,dbtbbhakdv,70,0
agqphdxmwt,250_0.png,1,aytzyidmgs,250,0
abarnvbtwb,80_0.png,0,abarnvbtwb,80,0
bofqajtwve,250_0.png,1,dbtbbhakdv,250,0
btmsngnqhv,200_0.png,1,crezycjqyk,200,0
ehfiekigla,40_0.png,1,avmjormvsx,40,0
emaalmsonj,60_0.png,1,dzyuwjkjui,60,0
acqfdwsrhi,200_0.png,1,ccfoszqabv,200,0
aorjvbyxhw,10_0.png,1,bulkxhhknf,10,0
cxrfacemmq,140_0.png,1,dlpoieqvfb,140,0
dhevettufk,110_0.png,1,cppdvdejkc,110,0
caifxvsozs,240_1.png,0,caifxvsozs,240,0
bwipwzzxxu,150_0.png,0,bwipwzzxxu,150,0
cksanfsjhc,100_0.png,1,atkdltyyen,100,0
dhkwmjxwrn,170_0.png,1,ehccixxzoe,170,0
djxdyjopjd,70_0.png,0,djxdyjopjd,70,0
cmbzllswnl,10_0.png,0,cmbzllswnl,10,0
aytzyidmgs,230_0.png,0,aytzyidmgs,230,0
cpjxareypw,190_0.png,0,cpjxareypw,190,0
ehfiekigla,0_0.png,1,avmjormvsx,0,0
bvzjkezkms,190_0.png,1,ekcrtigpab,190,0
alaijyygdv,90_0.png,1,cppdvdejkc,90,0
bejhvclboh,30_0.png,0,bejhvclboh,30,0
duycddgtrl,130_0.png,0,duycddgtrl,130,0
bbhtdfuqxq,140_0.png,1,cpjxareypw,140,0
atkdltyyen,280_0.png,0,atkdltyyen,280,0
cpjxareypw,30_0.png,0,cpjxareypw,30,0
drtbksnpol,110_0.png,1,dzyuwjkjui,110,0
dzvyfiarrq,100_0.png,1,bgwmmujlmc,100,0
ehfiekigla,60_0.png,1,avmjormvsx,60,0
abarnvbtwb,170_0.png,0,abarnvbtwb,170,0
bdnaqemxmr,270_0.png,0,bdnaqemxmr,270,0
bvzjkezkms,290_0.png,1,ekcrtigpab,290,0
asmpfjfzif,180_0.png,1,dzyuwjkjui,180,0
dbtbbhakdv,240_0.png,0,dbtbbhakdv,240,0
dzvyfiarrq,80_0.png,1,bgwmmujlmc,80,0
bgwmmujlmc,280_0.png,0,bgwmmujlmc,280,0
cizlkenljw,200_0.png,0,cizlkenljw,200,0
bbhtdfuqxq,250_0.png,1,cpjxareypw,250,0
etohcvnzbj,140_0.png,1,bdnaqemxmr,140,0
apatcsqejh,150_1.png,1,edyncaijwx,150,0
bpxckdzddv,190_0.png,1,cizlkenljw,190,0
dhkwmjxwrn,70_0.png,1,ehccixxzoe,70,0
caifxvsozs,50_1.png,0,caifxvsozs,50,0
eqvuznuwsa,30_0.png,1,cmbzllswnl,30,0
afoovlsmtx,90_0.png,0,afoovlsmtx,90,0
ehfiekigla,170_0.png,1,avmjormvsx,170,0
ehccixxzoe,50_0.png,0,ehccixxzoe,50,0
etmcruaihe,290_0.png,1,afoovlsmtx,290,0
agqphdxmwt,150_0.png,1,aytzyidmgs,150,0
afoovlsmtx,100_0.png,0,afoovlsmtx,100,0
drcyabprvt,110_0.png,0,drcyabprvt,110,0
bwipwzzxxu,60_0.png,0,bwipwzzxxu,60,0
ellavthztb,160_0.png,0,ellavthztb,160,0
czfunozvwp,80_0.png,1,caifxvsozs,80,0
abarnvbtwb,190_0.png,0,abarnvbtwb,190,0
emaalmsonj,280_0.png,1,dzyuwjkjui,280,0
emaalmsonj,80_0.png,1,dzyuwjkjui,80,0
adylbeequz,230_0.png,1,dlpoieqvfb,230,0
egghxjjmfg,20_0.png,0,egghxjjmfg,20,0
coadfnerlk,270_0.png,1,bwipwzzxxu,270,0
dbnygxtwek,230_0.png,0,dbnygxtwek,230,0
dlpoieqvfb,220_0.png,0,dlpoieqvfb,220,0
bpxckdzddv,220_0.png,1,cizlkenljw,220,0
dzvyfiarrq,260_0.png,1,bgwmmujlmc,260,0
bpxckdzddv,10_0.png,1,cizlkenljw,10,0
bqqpbzjgup,240_0.png,1,djxdyjopjd,240,0
bzythlfnhq,220_0.png,0,bzythlfnhq,220,0
bvzjkezkms,270_0.png,1,ekcrtigpab,270,0
etmcruaihe,200_0.png,1,afoovlsmtx,200,0
asmpfjfzif,40_0.png,1,dzyuwjkjui,40,0
ellavthztb,120_0.png,0,ellavthztb,120,0
ehfiekigla,280_0.png,1,avmjormvsx,280,0
bvzjkezkms,220_0.png,1,ekcrtigpab,220,0
ahbweevwpv,60_0.png,1,dkuayagnmc,60,0
dakiztgtnw,130_0.png,0,dakiztgtnw,130,0
btjlfpzbdu,70_0.png,1,drcyabprvt,70,0
edyncaijwx,210_1.png,0,edyncaijwx,210,0
avmjormvsx,40_0.png,0,avmjormvsx,40,0
ehccixxzoe,260_1.png,0,ehccixxzoe,260,0
egghxjjmfg,270_0.png,0,egghxjjmfg,270,0
djxdyjopjd,120_0.png,0,djxdyjopjd,120,0
chtapglbcj,50_0.png,0,chtapglbcj,50,0
edyncaijwx,40_1.png,0,edyncaijwx,40,0
cdphtzqrvp,20_0.png,1,ehtdtkmmli,20,0
bqqpbzjgup,210_0.png,1,djxdyjopjd,210,0
acqfdwsrhi,190_0.png,1,ccfoszqabv,190,0
drtbksnpol,230_0.png,1,dzyuwjkjui,230,0
caifxvsozs,90_0.png,0,caifxvsozs,90,0
bdnaqemxmr,170_0.png,0,bdnaqemxmr,170,0
dhkwmjxwrn,130_0.png,1,ehccixxzoe,130,0
cdphtzqrvp,10_0.png,1,ehtdtkmmli,10,0
czfunozvwp,40_0.png,1,caifxvsozs,40,0
dtocdfbwca,110_0.png,1,dakiztgtnw,110,0
bpxckdzddv,130_0.png,1,cizlkenljw,130,0
bvzjkezkms,70_0.png,1,ekcrtigpab,70,0
dlpoieqvfb,0_0.png,0,dlpoieqvfb,0,0
chtapglbcj,140_0.png,0,chtapglbcj,140,0
blzydqdfem,40_0.png,1,dbtbbhakdv,40,0
djxdyjopjd,180_0.png,0,djxdyjopjd,180,0
alaijyygdv,170_0.png,1,cppdvdejkc,170,0
curpwogllm,160_0.png,1,chtapglbcj,160,0
czfunozvwp,160_1.png,1,caifxvsozs,160,0
cksanfsjhc,260_0.png,1,atkdltyyen,260,0
bxzakyopjf,210_0.png,0,bxzakyopjf,210,0
bulkxhhknf,160_0.png,0,bulkxhhknf,160,0
ekhacizpah,80_0.png,1,egghxjjmfg,80,0
cyxlcuyznd,60_0.png,0,cyxlcuyznd,60,0
ahbweevwpv,40_0.png,1,dkuayagnmc,40,0
asmpfjfzif,30_0.png,1,dzyuwjkjui,30,0
coadfnerlk,140_0.png,1,bwipwzzxxu,140,0
coadfnerlk,20_0.png,1,bwipwzzxxu,20,0
dzvyfiarrq,220_0.png,1,bgwmmujlmc,220,0
ebchwmwayp,250_0.png,1,ehccixxzoe,250,0
caifxvsozs,80_1.png,0,caifxvsozs,80,0
cpjxareypw,170_0.png,0,cpjxareypw,170,0
ehfiekigla,10_0.png,1,avmjormvsx,10,0
bourlmzsio,160_0.png,1,bxzakyopjf,160,0
dtocdfbwca,140_0.png,1,dakiztgtnw,140,0
ccfoszqabv,100_0.png,0,ccfoszqabv,100,0
